https://wiki.gtanet.work/index.php?title=Peds
A_C_Boar = 3462393972,0xCE5FF074
A_M_Y_MusclBeac_01 = 1264920838,0x4B652906
A_M_Y_MusclBeac_02 = 3374523516,0xC923247C
A_M_Y_Polynesian_01 = 2206530719,0x8384FC9F
A_M_Y_RoadCyc_01 = 4116817094,0xF561A4C6
A_M_Y_Runner_01 = 623927022,0x25305EEE
A_M_Y_Runner_02 = 2218630415,0x843D9D0F
A_M_Y_Salton_01 = 3613420592,0xD7606C30
A_M_Y_Skater_01 = 3250873975,0xC1C46677
A_M_Y_Skater_02 = 2952446692,0xAFFAC2E4
A_M_Y_SouCent_01 = 3877027275,0xE716BDCB
A_M_Y_SouCent_02 = 2896414922,0xACA3C8CA
A_M_Y_SouCent_03 = 3287349092,0xC3F0F764
A_M_Y_SouCent_04 = 2318861297,0x8A3703F1
A_M_Y_StBla_01 = 3482496489,0xCF92ADE9
A_M_Y_StBla_02 = 2563194959,0x98C7404F
A_M_Y_StLat_01 = 2255803900,0x8674D5FC
A_M_Y_StWhi_01 = 605602864,0x2418C430
A_M_Y_StWhi_02 = 919005580,0x36C6E98C
A_M_Y_Sunbathe_01 = 3072929548,0xB7292F0C
A_M_Y_Surfer_01 = 3938633710,0xEAC2C7EE
A_M_Y_VinDouche_01 = 3247667175,0xC19377E7
A_M_Y_Vinewood_01 = 1264851357,0x4B64199D
A_M_Y_Vinewood_02 = 1561705728,0x5D15BD00
A_M_Y_Vinewood_03 = 534725268,0x1FDF4294
A_M_Y_Vinewood_04 = 835315305,0x31C9E669
A_M_Y_Yoga_01 = 2869588309,0xAB0A7155
comp_peds_helmets_moped = 1955694561,0x749187E1
comp_peds_helmets_motox = 487781586,0x1D12F4D2
comp_peds_helmets_shorty = 2275662466,0x87A3DA82
comp_peds_helmets_sports = 597211963,0x2398BB3B
comp_peds_marine = 3078551403,0xB77EF76B
CSB_Abigail = 2306246977,0x89768941
CSB_Anita = 117698822,0x0703F106
CSB_Anton = 2781317046,0xA5C787B6
CSB_BallasOG = 2884567044,0xABEF0004
CSB_Bride = 2193587873,0x82BF7EA1
CSB_BurgerDrug = 2363277399,0x8CDCC057
CSB_Car3guy1 = 71501447,0x04430687
CSB_Car3guy2 = 327394568,0x1383A508
CSB_Chef = 2739391114,0xA347CA8A
CSB_Chin_goon = 2831296918,0xA8C22996
CSB_Cletus = 3404326357,0xCAE9E5D5
CSB_Cop = 2595446627,0x9AB35F63
CSB_Customer = 2756669323,0xA44F6F8B
CSB_Denise_friend = 3045926185,0xB58D2529
CSB_FOS_rep = 466359675,0x1BCC157B
CSB_G = 2727244247,0xA28E71D7
CSB_Groom = 2058033618,0x7AAB19D2
CSB_Grove_str_dlr = 3898166818,0xE8594E22
CSB_Hao = 3969814300,0xEC9E8F1C
CSB_Hugh = 1863555924,0x6F139B54
CSB_Imran = 3812756443,0xE3420BDB
CSB_Janitor = 3254803008,0xC2005A40
CSB_Maude = 3166991819,0xBCC475CB
CSB_MWeather = 1631478380,0x613E626C
CSB_Ortega = 3235579087,0xC0DB04CF
CSB_Oscar = 4095687067,0xF41F399B
CSB_PornDudes = 793443893,0x2F4AFE35
CSB_PornDudes_P = 2323814650,0x8A8298FA
CSB_PrologueDriver = 4027271643,0xF00B49DB
CSB_ProlSec = 2141384740,0x7FA2F024
CSB_Ramp_gang = 3263172030,0xC2800DBE
CSB_Ramp_hic = 2240582840,0x858C94B8
CSB_Ramp_hipster = 569740212,0x21F58BB4
CSB_Ramp_marine = 1634506681,0x616C97B9
CSB_Ramp_mex = 4132362192,0xF64ED7D0
CSB_Reporter = 776079908,0x2E420A24
CSB_RoccoPelosi = 2858686092,0xAA64168C
CSB_Screen_Writer = 2346790124,0x8BE12CEC
CSB_Stripper_01 = 2934601397,0xAEEA76B5
CSB_Stripper_02 = 2168724337,0x81441B71
CSB_Tonya = 1665391897,0x6343DD19
CSB_TrafficWarden = 3727243251,0xDE2937F3
CS_AmandaTownley = 2515474659,0x95EF18E3
CS_Andreas = 3881194279,0xE7565327
cs_ashley = 650367097,0x26C3D079
CS_Bankman = 2539657518,0x9760192E
CS_Barry = 1767447799,0x69591CF7
CS_Barry_P = 2072274194,0x7B846512
CS_Beverly = 3027157846,0xB46EC356
CS_Beverly_P = 2425194132,0x908D8694
CS_Brad = 4024807398,0xEFE5AFE6
CS_BradCadaver = 1915268960,0x7228AF60
CS_Carbuyer = 2362341647,0x8CCE790F
CS_Casey = 3935738944,0xEA969C40
CS_ChengSr = 819699067,0x30DB9D7B
CS_ChrisFormage = 3253960934,0xC1F380E6
CS_Clay = 3687553076,0xDBCB9834
CS_Dale = 216536661,0x0CE81655
CS_DaveNorton = 2240226444,0x8587248C
cs_debra = 3973074921,0xECD04FE9
cs_denise = 1870669624,0x6F802738
CS_Devin = 788622594,0x2F016D02
CS_Dom = 1198698306,0x4772AF42
CS_Dreyfuss = 1012965715,0x3C60A153
CS_DrFriedlander = 2745392175,0xA3A35C2F
CS_Fabien = 1191403201,0x47035EC1
CS_FBISuit_01 = 1482427218,0x585C0B52
CS_Floyd = 103106535,0x062547E7
CS_Guadalope = 261428209,0x0F9513F1
cs_gurk = 3272931111,0xC314F727
CS_Hunter = 1531218220,0x5B44892C
CS_Janet = 808778210,0x3034F9E2
CS_JewelAss = 1145088004,0x4440A804
CS_JimmyBoston = 60192701,0x039677BD
CS_JimmyDiSanto = 3100414644,0xB8CC92B4
CS_JoeMinuteMan = 4036845097,0xF09D5E29
CS_JohnnyKlebitz = 4203395201,0xFA8AB881
CS_Josef = 1167549130,0x459762CA
CS_Josh = 1158606749,0x450EEF9D
CS_LamarDavis = 1162230285,0x45463A0D
CS_Lazlow = 949295643,0x38951A1B
CS_LesterCrest = 3046438339,0xB594F5C3
CS_LifeInvad_01 = 1918178165,0x72551375
CS_Magenta = 1477887514,0x5816C61A
CS_Manuel = 4222842058,0xFBB374CA
CS_Marnie = 1464721716,0x574DE134
CS_MartinMadrazo = 1129928304,0x43595670
CS_MaryAnn = 161007533,0x0998C7AD
CS_Michelle = 1890499016,0x70AEB9C8
CS_Milton = 3077190415,0xB76A330F
CS_Molly = 1167167044,0x45918E44
CS_MovPremF_01 = 1270514905,0x4BBA84D9
CS_MovPremMale = 2372398717,0x8D67EE7D
CS_MRK = 3284966005,0xC3CC9A75
CS_MrsPhillips = 3422397391,0xCBFDA3CF
CS_MRS_Thornhill = 1334976110,0x4F921E6E
CS_Natalia = 1325314544,0x4EFEB1F0
CS_NervousRon = 2023152276,0x7896DA94
CS_Nigel = 3779566603,0xE1479C0B
CS_Old_Man1A = 518814684,0x1EEC7BDC
CS_Old_Man2 = 2566514544,0x98F9E770
CS_Omega = 2339419141,0x8B70B405
CS_Orleans = 2905870170,0xAD340F5A
CS_Paper = 1798879480,0x6B38B8F8
CS_Paper_P = 3464001928,0xCE787988
CS_Patricia = 3750433537,0xDF8B1301
CS_Priest = 1299047806,0x4D6DE57E
CS_ProlSec_02 = 512955554,0x1E9314A2
CS_RussianDrunk = 1179785778,0x46521A32
CS_SiemonYetarian = 3230888450,0xC0937202
CS_Solomon = 4140949582,0xF6D1E04E
CS_SteveHains = 2766184958,0xA4E0A1FE
CS_Stretch = 2302502917,0x893D6805
CS_Tanisha = 1123963760,0x42FE5370
CS_TaoCheng = 2288257085,0x8864083D
CS_TaosTranslator = 1397974313,0x53536529
CS_TennisCoach = 1545995274,0x5C26040A
CS_Terry = 978452933,0x3A5201C5
CS_Tom = 1776856003,0x69E8ABC3
CS_TomEpsilon = 2349847778,0x8C0FD4E2
CS_TracyDiSanto = 101298480,0x0609B130
CS_Wade = 3529955798,0xD266D9D6
CS_Zimbor = 3937184496,0xEAACAAF0
G_F_Y_ballas_01 = 361513884,0x158C439C
G_F_Y_Families_01 = 1309468115,0x4E0CE5D3
G_F_Y_Lost_01 = 4250220510,0xFD5537DE
G_F_Y_Vagos_01 = 1520708641,0x5AA42C21
G_M_M_ArmBoss_01 = 4058522530,0xF1E823A2
G_M_M_ArmGoon_01 = 4255728232,0xFDA94268
G_M_M_ArmLieut_01 = 3882958867,0xE7714013
G_M_M_ChemWork_01 = 4128603535,0xF6157D8F
G_M_M_ChemWork_01_P = 2640813814,0x9D679EF6
G_M_M_ChiBoss_01 = 3118269184,0xB9DD0300
G_M_M_ChiBoss_01_P = 2571603661,0x99478ECD
G_M_M_ChiCold_01 = 275618457,0x106D9A99
G_M_M_ChiCold_01_P = 3603652786,0xD6CB60B2
G_M_M_ChiGoon_01 = 2119136831,0x7E4F763F
G_M_M_ChiGoon_01_P = 4038565857,0xF0B79FE1
G_M_M_ChiGoon_02 = 4285659174,0xFF71F826
G_M_M_KorBoss_01 = 891945583,0x352A026F
G_M_M_MexBoss_01 = 1466037421,0x5761F4AD
G_M_M_MexBoss_02 = 1226102803,0x4914D813
G_M_Y_ArmGoon_02 = 3310258058,0xC54E878A
G_M_Y_Azteca_01 = 1752208920,0x68709618
G_M_Y_BallaEast_01 = 4096714883,0xF42EE883
G_M_Y_BallaOrig_01 = 588969535,0x231AF63F
G_M_Y_BallaSout_01 = 599294057,0x23B88069
G_M_Y_FamCA_01 = 3896218551,0xE83B93B7
G_M_Y_FamDNF_01 = 3681718840,0xDB729238
G_M_Y_FamFor_01 = 2217749257,0x84302B09
G_M_Y_Korean_01 = 611648169,0x247502A9
G_M_Y_Korean_02 = 2414729609,0x8FEDD989
G_M_Y_KorLieut_01 = 2093736314,0x7CCBE17A
G_M_Y_Lost_01 = 1330042375,0x4F46D607
G_M_Y_Lost_02 = 1032073858,0x3D843282
G_M_Y_Lost_03 = 850468060,0x32B11CDC
G_M_Y_MexGang_01 = 3185399110,0xBDDD5546
G_M_Y_MexGoon_01 = 653210662,0x26EF3426
G_M_Y_MexGoon_02 = 832784782,0x31A3498E
G_M_Y_MexGoon_03 = 2521633500,0x964D12DC
G_M_Y_MexGoon_03_P = 983335309,0x3A9C818D
G_M_Y_PoloGoon_01 = 1329576454,0x4F3FBA06
G_M_Y_PoloGoon_01_P = 2455730232,0x925F7838
G_M_Y_PoloGoon_02 = 2733138262,0xA2E86156
G_M_Y_PoloGoon_02_P = 1495768715,0x59279E8B
G_M_Y_SalvaBoss_01 = 2422005962,0x905CE0CA
G_M_Y_SalvaGoon_01 = 663522487,0x278C8CB7
G_M_Y_SalvaGoon_02 = 846439045,0x3273A285
G_M_Y_SalvaGoon_03 = 62440720,0x03B8C510
G_M_Y_SalvaGoon_03_P = 1892098224,0x70C720B0
G_M_Y_StrPunk_01 = 4246489531,0xFD1C49BB
G_M_Y_StrPunk_02 = 228715206,0x0DA1EAC6
HC_Driver = 994527967,0x3B474ADF
HC_Gunman = 193469166,0x0B881AEE
HC_Hacker = 2579169528,0x99BB00F8
IG_Abigail = 1074457665,0x400AEC41
IG_AmandaTownley = 1830688247,0x6D1E15F7
IG_Andreas = 1206185632,0x47E4EEA0
IG_Ashley = 2129936603,0x7EF440DB
IG_BallasOG = 2802535058,0xA70B4A92
IG_Bankman = 2426248831,0x909D9E7F
IG_Barry = 797459875,0x2F8845A3
IG_Barry_P = 1809880969,0x6BE09789
IG_BestMen = 1464257942,0x5746CD96
IG_Beverly = 3181518428,0xBDA21E5C
IG_Beverly_P = 3526461799,0xD2318967
IG_Brad = 3183167778,0xBDBB4922
IG_Bride = 1633872967,0x6162EC47
IG_Car3guy1 = 2230970679,0x84F9E937
IG_Car3guy2 = 1975732938,0x75C34ACA
IG_Casey = 3774489940,0xE0FA2554
IG_Chef = 1240128502,0x49EADBF6
IG_ChengSr = 2867128955,0xAAE4EA7B
IG_ChrisFormage = 678319271,0x286E54A7
IG_Clay = 1825562762,0x6CCFE08A
IG_ClayPain = 2634057640,0x9D0087A8
IG_Cletus = 3865252245,0xE6631195
IG_Dale = 1182012905,0x467415E9
IG_DaveNorton = 365775923,0x15CD4C33
IG_Denise = 2181772221,0x820B33BD
IG_Devin = 1952555184,0x7461A0B0
IG_Dom = 2620240008,0x9C2DB088
IG_Dreyfuss = 3666413874,0xDA890932
IG_DrFriedlander = 3422293493,0xCBFC0DF5
IG_Fabien = 3499148112,0xD090C350
IG_FBISuit_01 = 988062523,0x3AE4A33B
IG_Floyd = 2981205682,0xB1B196B2
IG_Groom = 4274948997,0xFECE8B85
IG_Hao = 1704428387,0x65978363
IG_Hunter = 3457361118,0xCE1324DE
IG_Janet = 225287241,0x0D6D9C49
ig_JAY_Norris = 2050158196,0x7A32EE74
IG_JewelAss = 257763003,0x0F5D26BB
IG_JimmyBoston = 3986688045,0xEDA0082D
IG_JimmyDiSanto = 1459905209,0x570462B9
IG_JoeMinuteMan = 3189787803,0xBE204C9B
ig_JohnnyKlebitz = 2278195374,0x87CA80AE
IG_Josef = 3776618420,0xE11A9FB4
IG_Josh = 2040438510,0x799E9EEE
IG_KerryMcIntosh = 1530648845,0x5B3BD90D
IG_LamarDavis = 1706635382,0x65B93076
IG_Lazlow = 3756278757,0xDFE443E5
IG_LesterCrest = 1302784073,0x4DA6E849
IG_LifeInvad_01 = 1401530684,0x5389A93C
IG_LifeInvad_02 = 666718676,0x27BD51D4
IG_Magenta = 4242313482,0xFCDC910A
IG_Manuel = 4248931856,0xFD418E10
IG_Marnie = 411185872,0x188232D0
IG_MaryAnn = 2741999622,0xA36F9806
IG_Maude = 1005070462,0x3BE8287E
IG_Michelle = 3214308084,0xBF9672F4
IG_Milton = 3408943538,0xCB3059B2
IG_Molly = 2936266209,0xAF03DDE1
IG_MRK = 3990661997,0xEDDCAB6D
IG_MrsPhillips = 946007720,0x3862EEA8
IG_MRS_Thornhill = 503621995,0x1E04A96B
IG_Natalia = 3726105915,0xDE17DD3B
IG_NervousRon = 3170921201,0xBD006AF1
IG_Nigel = 3367442045,0xC8B7167D
IG_Old_Man1A = 1906124788,0x719D27F4
IG_Old_Man2 = 4011150407,0xEF154C47
IG_Omega = 1625728984,0x60E6A7D8
IG_ONeil = 768005095,0x2DC6D3E7
IG_Orleans = 1641334641,0x61D4C771
IG_Ortega = 648372919,0x26A562B7
IG_Paper = 2577072326,0x999B00C6
IG_Patricia = 3312325004,0xC56E118C
IG_Priest = 1681385341,0x6437E77D
IG_ProlSec_02 = 666086773,0x27B3AD75
IG_Ramp_Gang = 3845001836,0xE52E126C
IG_Ramp_Hic = 1165307954,0x45753032
IG_Ramp_Hipster = 3740245870,0xDEEF9F6E
IG_Ramp_Mex = 3870061732,0xE6AC74A4
IG_RoccoPelosi = 3585757951,0xD5BA52FF
IG_RussianDrunk = 1024089777,0x3D0A5EB1
IG_Screen_Writer = 4293277303,0xFFE63677
IG_SiemonYetarian = 1283141381,0x4C7B2F05
IG_Solomon = 2260598310,0x86BDFE26
IG_SteveHains = 941695432,0x382121C8
IG_Stretch = 915948376,0x36984358
IG_Talina = 3885222120,0xE793C8E8
IG_Tanisha = 226559113,0x0D810489
IG_TaoCheng = 3697041061,0xDC5C5EA5
IG_TaosTranslator = 2089096292,0x7C851464
IG_TaosTranslator_P = 567567415,0x21D46437
ig_TennisCoach = 2721800023,0xA23B5F57
IG_Terry = 1728056212,0x67000B94
IG_TomEpsilon = 3447159466,0xCD777AAA
IG_Tonya = 3402126148,0xCAC85344
IG_TracyDiSanto = 3728026165,0xDE352A35
IG_TrafficWarden = 1461287021,0x5719786D
IG_TylerDix = 1382414087,0x5265F707
IG_Wade = 2459507570,0x92991B72
IG_Zimbor = 188012277,0x0B34D6F5
MP_F_DeadHooker = 1943971979,0x73DEA88B
MP_F_Freemode_01 = 2627665880,0x9C9EFFD8
MP_F_Misty_01 = 3509125021,0xD128FF9D
MP_F_StripperLite = 695248020,0x2970A494
MP_G_M_Pros_01 = 1822283721,0x6C9DD7C9
MP_HeadTargets = 1173958009,0x45F92D79
MP_M_Claude_01 = 3237179831,0xC0F371B7
MP_M_ExArmy_01 = 1161072059,0x45348DBB
MP_M_FamDD_01 = 866411749,0x33A464E5
MP_M_FIBSec_01 = 1558115333,0x5CDEF405
MP_M_Freemode_01 = 1885233650,0x705E61F2
MP_M_Marston_01 = 943915367,0x38430167
MP_M_Niko_01 = 4007317449,0xEEDACFC9
MP_M_ShopKeep_01 = 416176080,0x18CE57D0
MP_S_M_Armoured_01 = 3455013896,0xCDEF5408
Player_One = 2602752943,0x9B22DBAF
Player_Two = 2608926626,0x9B810FA2
Player_Zero = 225514697,0x0D7114C9
slod_human = 1057201338,0x3F039CBA
slod_large_quadped = 2238511874,0x856CFB02
slod_small_quadped = 762327283,0x2D7030F3
strm_peds_mpShare = 1090333183,0x40FD29FF
strm_peds_mpTattRTs = 3771447892,0xE0CBBA54
S_F_M_Fembarber = 373000027,0x163B875B
S_F_M_Maid_01 = 3767780806,0xE093C5C6
S_F_M_Shop_HIGH = 2923947184,0xAE47E4B0
S_F_M_SweatShop_01 = 824925120,0x312B5BC0
S_F_Y_AirHostess_01 = 1567728751,0x5D71A46F
S_F_Y_Bartender_01 = 2014052797,0x780C01BD
S_F_Y_Baywatch_01 = 1250841910,0x4A8E5536
S_F_Y_Cop_01 = 368603149,0x15F8700D
S_F_Y_Factory_01 = 1777626099,0x69F46BF3
S_F_Y_Hooker_01 = 42647445,0x028ABF95
